pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
271,lombre,lombre,generation-iii,emerald,front_default,pokemon/lombre/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/271.png
272,ludicolo,ludicolo,generation-iii,emerald,front_default,pokemon/ludicolo/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/272.png
273,seedot,seedot,generation-iii,emerald,front_default,pokemon/seedot/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/273.png
274,nuzleaf,nuzleaf,generation-iii,emerald,front_default,pokemon/nuzleaf/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/274.png
275,shiftry,shiftry,generation-iii,emerald,front_default,pokemon/shiftry/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/275.png
276,taillow,taillow,generation-iii,emerald,front_default,pokemon/taillow/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/276.png
277,swellow,swellow,generation-iii,emerald,front_default,pokemon/swellow/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/277.png
278,wingull,wingull,generation-iii,emerald,front_default,pokemon/wingull/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/278.png
279,pelipper,pelipper,generation-iii,emerald,front_default,pokemon/pelipper/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/279.png
280,ralts,ralts,generation-iii,emerald,front_default,pokemon/ralts/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/280.png
281,kirlia,kirlia,generation-iii,emerald,front_default,pokemon/kirlia/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/281.png
282,gardevoir,gardevoir,generation-iii,emerald,front_default,pokemon/gardevoir/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/282.png
283,surskit,surskit,generation-iii,emerald,front_default,pokemon/surskit/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/283.png
284,masquerain,masquerain,generation-iii,emerald,front_default,pokemon/masquerain/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/284.png
285,shroomish,shroomish,generation-iii,emerald,front_default,pokemon/shroomish/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/285.png
286,breloom,breloom,generation-iii,emerald,front_default,pokemon/breloom/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/286.png
287,slakoth,slakoth,generation-iii,emerald,front_default,pokemon/slakoth/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/287.png
288,vigoroth,vigoroth,generation-iii,emerald,front_default,pokemon/vigoroth/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/288.png
289,slaking,slaking,generation-iii,emerald,front_default,pokemon/slaking/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/289.png
290,nincada,nincada,generation-iii,emerald,front_default,pokemon/nincada/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/290.png
291,ninjask,ninjask,generation-iii,emerald,front_default,pokemon/ninjask/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/291.png
292,shedinja,shedinja,generation-iii,emerald,front_default,pokemon/shedinja/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/292.png
293,whismur,whismur,generation-iii,emerald,front_default,pokemon/whismur/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/293.png
294,loudred,loudred,generation-iii,emerald,front_default,pokemon/loudred/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/294.png
295,exploud,exploud,generation-iii,emerald,front_default,pokemon/exploud/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/295.png
296,makuhita,makuhita,generation-iii,emerald,front_default,pokemon/makuhita/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/296.png
297,hariyama,hariyama,generation-iii,emerald,front_default,pokemon/hariyama/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/297.png
298,azurill,azurill,generation-iii,emerald,front_default,pokemon/azurill/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/298.png
299,nosepass,nosepass,generation-iii,emerald,front_default,pokemon/nosepass/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/299.png
300,skitty,skitty,generation-iii,emerald,front_default,pokemon/skitty/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/300.png
301,delcatty,delcatty,generation-iii,emerald,front_default,pokemon/delcatty/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/301.png
302,sableye,sableye,generation-iii,emerald,front_default,pokemon/sableye/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/302.png
303,mawile,mawile,generation-iii,emerald,front_default,pokemon/mawile/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/303.png
304,aron,aron,generation-iii,emerald,front_default,pokemon/aron/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/304.png
305,lairon,lairon,generation-iii,emerald,front_default,pokemon/lairon/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/305.png
306,aggron,aggron,generation-iii,emerald,front_default,pokemon/aggron/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/306.png
307,meditite,meditite,generation-iii,emerald,front_default,pokemon/meditite/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/307.png
